item_id,title,category,price,brand,description
101,Wireless Headphones,Electronics,99.99,TechBrand,High-quality wireless headphones with noise cancellation
102,Smartphone Case,Electronics,24.99,AccessoryBrand,Protective case for latest smartphone models
103,Coffee Maker,Home & Kitchen,149.99,KitchenBrand,Programmable coffee maker with 12-cup capacity
104,Running Shoes,Sports & Outdoors,79.99,SportsBrand,Lightweight running shoes for daily training
105,Bluetooth Speaker,Electronics,59.99,AudioBrand,Portable bluetooth speaker with 10-hour battery
106,Yoga Mat,Sports & Outdoors,29.99,FitnessBrand,Non-slip yoga mat for home workouts
107,Laptop Stand,Electronics,39.99,OfficeBrand,Adjustable laptop stand for ergonomic workspace
108,Water Bottle,Sports & Outdoors,19.99,HydroBrand,Insulated water bottle keeps drinks cold for 24 hours
109,Desk Lamp,Home & Kitchen,34.99,LightBrand,LED desk lamp with adjustable brightness
110,Fitness Tracker,Electronics,129.99,TechBrand,Advanced fitness tracker with heart rate monitoring
111,Backpack,Travel & Luggage,49.99,TravelBrand,Durable backpack for daily commute and travel
